factives,hedges,implicatives,report_verbs,bias,negative_words,positive_words,negative_colloquial_words,positive_colloquial_words
,,,,,الانحراف,مفيد,صعب,يخدمها
,,,,,مذنب,أكثر سعادة,صعوبات,يدافع
,,,,,هذياني,بسعادة,ضئيل,يدعم
,,,,,هذيان,سعادة,ضئيله,يرزق
,,,,,خدعة,سعيد,ضاع,يرزقك
,,,,,مخدوع,العمل الجاد,ضاعت,يرزقكم
,,,,,غمر,أكثر صلابة,ضاق,يرزقنا
,,,,,الوهم,هاردي,ضاقت,يزعل
,,,,,الوهمية,غير مؤذية,ضحيه,يساعد
,,,,,الأوهام,متناغم,ضخمه,يساعدهم
,,,,,تحقير,بانسجام,ضد,يستاهل
,,,,,مهينة,تنسيق,ضدكم,يستاهلون
,,,,,زوال,انسجام,ضدنا,يسترد
,,,,,هدم,تقدم,ضدهم,يسترزق
,,,,,هدم,يشفي,ضر,يستفيد
,,,,,شيطان,صحية,ضرا,يستفيدوا
,,,,,شيطاني,صحيح,ضرائب,يستمتع
,,,,,شيطنة,شجع,ضرايب,يسر
,,,,,شيطاني,يشجع,ضرب,يسهرون
,,,,,يشيطنة,القلبية,ضريبه,يشرفنا
,,,,,شيطنة,بحرارة,ضعف,يطالب
,,,,,إحباط,الحميم,ضعفاء,يطعم
,,,,,محبط,سماء,ضعيفات,يعجبه
,,,,,بشكل محبط,السماوية,ضغط,يعرقلنا
,,,,,إنكار,ساعد,ضمير,يعز
,,,,,رفض,متعاون,ضياع,يعمرها
,,,,,ينفي,مساعدة,ضياعكم,يعملوا
,,,,,يحط من قدر,بطل,ضيق,يعوض
,,,,,التنديد,بطولي,ضيقه,يعيش
,,,,,كثيف,بشكل بطولي,طارت,يغضب
,,,,,صدمه خفيفه,بطلة,طاقات,يغنيهن
,,,,,مطعوجة,بطل,طال,يفاخر
,,,,,الخدوش,أبطال,طالت,يفدي
,,,,,استنكر,جودة عالية,طايحين,يفرج
,,,,,إدانة,عالية الحماس,طرد,يفرحنا
,,,,,استنكارات,مرح,طردنا,يفرحوا
,,,,,ينكر,مقدس,طردهم,يفضلون
,,,,,إنكار,إجلال أو بيعة أو احترام,طردونا,يفيدنا
,,,,,استنزاف,أمين,طردوه,يكرهونا
,,,,,مؤسف,أمانة,طز,يمدح
,,,,,بشكل مؤسف,شرف,طفيلين,يمرحون
,,,,,نأسف,مشرف,طفيليه,يناضل
,,,,,مستنكر,تكريم,طماعه,ينجح
,,,,,بشكل مؤسف,تكريم,طمع,ينعم
,,,,,يفسد,مرحا,ظالم,ينفع
,,,,,فاسد,متفائل,ظلم,ينفعكم
,,,,,بشكل فاسد,مضياف,ظلمات,ينكر
,,,,,إهمال,حار,ظلمت,ينهض
,,,,,خفض,كعكات ساخنة,ظلمكم,يهدي
,,,,,محبَط,سخونة,ظلممنا,يوفر
,,,,,محزن,حضن,ظلمنا,يوفقنا
,,,,,بشكل محبط,إنسانية,ظلمني,
,,,,,اكتئاب,متواضع,عاجبه,
,,,,,المنخفضات,التواضع,عاجل,
,,,,,تحرم,مزاح,عاجلا,
,,,,,محروم,يداعب,عادل,
,,,,,يسخر,روح الدعابة,عادله,
,,,,,السخرية,بشكل فكاهي,عادلين,
,,,,,ساخر,مزاح,عاطل,
,,,,,بسخرية,روح الدعابة,عاطلات,
,,,,,السخرية,مثالي,عاطله,
,,,,,مهين,جعله مثاليا,عاطلين,
,,,,,تدنيس,بشكل مثالي,عاطﻻت,
,,,,,صحراء,محبوب الجماهير,عاله,
,,,,,الهجر,يعبد,عاليه,
,,,,,جفف,معبود,عاهات,
,,,,,المجففة,شاعري,عبء,
,,,,,الرغبة,تضيء,عبث,
,,,,,مهجور,المتنورين,عبثهم,
,,,,,مقفر,مضيئة,عبرنا,
,,,,,الخراب,أنار,عبيء,
,,,,,يأس,اللامع,عبيط,
,,,,,يائسة,طاهر,عجر,
,,,,,بشكل يائس,واسع الخيال,عجز,
,,,,,متحرّق إلى,طاهر,عدم,
,,,,,فاقد الامل,نظيف,عدو,
,,,,,اليأس,منظم,عدوتنا,
,,,,,خسيس,تصرف بطريقة صحيحة,عراقيل,
,,,,,حقير,هائل,عشوائيه,
,,,,,حقير,محايدة,عصابات,
,,,,,يحتقر,الحياد,عصبيه,
,,,,,محتقر,بنزاهة,عطاء,
,,,,,يسلب,عاطفي,عطالتنا,
,,,,,المفسد,لا تشوبها شائبة,عطالتهن,
,,,,,اليأس,بدقة,عطالتي,
,,,,,اليأس,مهم,عطاله,
,,,,,يائس,إقناع,عطلن,
,,,,,بيأس,معجب,عطلنا,
,,,,,طاغية,يثير الإعجاب,عقد,
,,,,,استبدادي,بديع,عماله,
,,,,,الاستبداد,بشكل مثير للإعجاب,عنريه,
,,,,,زعزعة الاستقرار,الإعجاب,عنسرين,
,,,,,مصير,يحسن,عنصري,
,,,,,فقراء,تحسين,عنصرية,
,,,,,العوز,تحسينات,عنصريتك,
,,,,,هدم,يتحسن,عنصريتكم,
,,,,,مدمر,تحسين,عنصريتنا,
,,,,,دمار,رائع,عنصريته,
,,,,,مدمرة,بشكل لا يصدق,عنصريتهم,
,,,,,متقطع,مديون,عنصرين,
,,,,,ردع,فردية,عنصريه,
,,,,,تتدهور,تساهل,عنف,
,,,,,تدهور,متساهل,عهر,
,,,,,تدهور,كادح,عون,
,,,,,رادع,لا تقدر بثمن,عيب,
,,,,,أكره,لا تقدر بثمن,غافلا,
,,,,,مقيت,غير مكلفة,غالي,
,,,,,مقيت,العصمة من الخطأ,غاليه,
,,,,,مكروه,معصوم من الخطأ,غباء,
,,,,,يكره,معصوم من الخطأ,غبنه,
,,,,,ينتقص,مؤثر,غبي,
,,,,,ينتقص,عبقري,غثيان,
,,,,,ينتقص,ببراعة,غدر,
,,,,,الانتقاص,براعة,غدرهم,
,,,,,ينتقص,بارع,غرباء,
,,,,,ضرر,ببراعة,غربته,
,,,,,ضار,غير مؤذية,غرور,
,,,,,يدمر,ابتكار,غريب,
,,,,,دمر,إبداعي,غضب,
,,,,,يدمر,متأثر,غلط,
,,,,,وخيم,الثاقبة,غلطاتهم,
,,,,,بشكل مدمر,بنظرة ثاقبة,غلطانه,
,,,,,الدمار,إلهام,غير,
,,,,,انحرف,ملهم,غيره,
,,,,,شيطان,يلهم,فائدتهم,
,,,,,بشكل شيطاني,الملهمة,فاجعه,
,,,,,شيطان,فورا,فارقونا,
,,,,,الشيطان,إرشادي,فاسد,
,,,,,الملتوية,مفيدة,فاسدين,
,,,,,بشكل مخادع,أساسي,فاسق,
,,,,,مراوغة,مدمج,فاشل,
,,,,,خالي,ذكاء,فايدتها,
,,,,,شيطاني,ذكي,فايده,
,,,,,شيطاني,واضح,فتن,
,,,,,تماما,مثير للاهتمام,فتنه,
,,,,,بخيبة أمل,الإهتمامات,فجر,
,,,,,خطبة لاذعة,حميمية,فراق,
,,,,,الخطب اللاذعة,حَمِيم,فرض,
,,,,,قضيب,معقد,فرضت,
,,,,,دكتاتور,دسيسة,فرضوها,
,,,,,ديكتاتورية,مثيرة للاهتمام,فساد,
,,,,,موت,بشكل مثير للاهتمام,فسادهم,
,,,,,متشدد,حدسي,فشل,
,,,,,مات,لا يقدر بثمن,فشلكم,
,,,,,يموت,لا تقدر بثمن,فشلهم,
,,,,,صعب,مبتكر,فضيتنا,
,,,,,الصعوبات,تنشيط,فقدوه,
,,,,,صعوبة,تنشيط,قبول,
,,,,,عدم الثقة,لا تقهر,قتل,
,,,,,متهدمة,لا يقهر,قتلنا,
,,,,,ورطة,مصونة,قتلها,
,,,,,خافت,مصونة,قتلهم,
,,,,,باهتة,غير معرض للخطر,قديمه,
,,,,,الدين,لا يمكن الاستغناء عنه,قذارات,
,,,,,الضربات,لا عيب فيه,قذاره,
,,,,,أنيق,لا يقاوم,قذر,
,,,,,رهيب,خالية من القضايا,قذرين,
,,,,,بشدة,إسقاط الفك,قرفهم,
,,,,,خطورة,بهجة,قضت,
,,,,,بغيض,مرحا,قضيتا,
,,,,,أكياس الأوساخ,مرح,قضيتنا,
,,,,,الأوساخ,بهيجة,قضيتهن,
,,,,,متسخ,بفرح,قضيه,
,,,,,إبطال,مبهج,قطع,
,,,,,عاجز,مبتهج,قله,
,,,,,خلاف,بابتهاج,قليل,
,,,,,عيب,ابتهج,قنبله,
,,,,,المحرومين,ابتهاج,قهر,
,,,,,غير مؤات,مبتهج,قهرا,
,,,,,سلبيات,حكيم,قهرت,
,,,,,ساخط,بعدل,قهرنا,
,,,,,ساخط,حريص,قهري,
,,,,,عدم التأكيد,بشدة,قيمتك,
,,,,,تعارض,حرص,كارثه,
,,,,,غير مقبول,صديقة للطفل,كارثي,
,,,,,بشكل غير مقبول,اللطف,كخه,
,,,,,غير موافق,بلطف,كذب,
,,,,,الخلاف,العطف,كذبه,
,,,,,لا يوافق,واسع المعرفة,كرامه,
,,,,,عدم السماح,مجد,كراهيه,
,,,,,بخيبة أمل,سعة كبيرة,كرف,
,,,,,مخيب للآمال,يمدح,كرفنا,
,,,,,خيبة الأمل,جدير بالثناء,كره,
,,,,,يخيب,مسرف,كريمه,
,,,,,خائب الأمل,ببذخ,كريمين,
,,,,,مخيب للامال,الملتزمين بالقانون,كسالا,
,,,,,بشكل مخيب للآمال,قانوني,كسل,
,,,,,خيبة الامل,بشكل قانوني,كلاب,
,,,,,خيبات الأمل,يقود,كوابيس,
,,,,,مخيب للآمال,قيادة,كيدهم,
,,,,,الرفض,يؤدي,كيفنا,
,,,,,الرفض,نحيف,كِبر,
,,,,,لا أوافق,قاد,لئم,
,,,,,غير موافق,أسطوري,لئيم,
,,,,,نزع سلاحه,تَأثِير,لازمه,
,,,,,جرده من ملابسه,خفة الحركة,لاسف,
,,,,,كارثة,تحرير,لحجيه,
,,,,,كارثية,تحرير,لقتل,
,,,,,كارثي,حرية,للاسف,
,,,,,بشكل كارثي,المنقذ,للمعروف,
,,,,,يتنصل,خفيف القلب,لمظلومات,
,,,,,التنصل,ولاعة,لنكرانهم,
,,,,,الكفر,محبوب,مأساه,
,,,,,كفر,يحب,مؤدب,
,,,,,كافر,احب,مؤلم,
,,,,,إخلاء المسؤولية,الإعجابات,ماتوظفوا,
,,,,,تحيير,تروق,ماساه,
,,,,,عدم الراحة,قلب الأسد,مبالاه,
,,,,,إزعاج,حية,متاخرين,
,,,,,عدم ارتياح,منطقي,متجاهل,
,,,,,أربك,طويلة الأمد,متجنسه,
,,,,,أقلق,محبوب,متحجر,
,,,,,مرتبك,بشكل محبوب,متحمسه,
,,,,,أمرا مقلقا,حب,متخلفا,
,,,,,بشكل مقلق,أحب,متخوفين,
,,,,,بائس,سحر,متدني,
,,,,,بشكل حزين,محبوب,متذمرين,
,,,,,عزاء,عاشق,متربصين,
,,,,,استياء,يحب,متستر,
,,,,,ساخط,محب,متسلطين,
,,,,,بسخط,تكلفة منخفضة,متسولين,
,,,,,توقف,سعر منخفض,متشائمه,
,,,,,انقطاع,بأسعار منخفضة,متضايق,
,,,,,متقطع,خطر قليل,متضايقين,
,,,,,الفتنة,أقل سعرا,متضرين,
,,,,,الخلاف,وفي,متطفله,
,,,,,متباين,وفاء,متعنت,
,,,,,الخصم,واضح,متقاعسه,
,,,,,تثبيط,بوضوح,مجاملات,
,,,,,الإحباط,حظ,مجبرا,
,,,,,محبط,أكثر حظا,مجبرين,
,,,,,بشكل محبط,الأكثر حظا,مجتهده,
,,,,,فظ,الحظ,مجردين,
,,,,,بفظاظة,محظوظ,مجيب,
,,,,,متنازع,مربح,محاربته,
,,,,,تشويه السمعة,مضيئة,محاربه,
,,,,,متناقض,الوفرة,محاربين,
,,,,,التمييز,بريق,محاسبتهم,
,,,,,تمييز,لامع,محاشرينا,
,,,,,تمييزية,مترف,محبط,
,,,,,ازدراء,ترف,محتقرينا,
,,,,,ازدراء,فاخر,محتكره,
,,,,,بازدراء,بترف,محتله,
,,,,, إزدراء,رفاهية,محتلينها,
,,,,,كره,غنائي,محروم,
,,,,,عار,سحر,محوطينا,
,,,,,العار,سحري,مخاطر,
,,,,,مشين,شهم,مخالف,
,,,,,بشكل مخزي,بسخاء,مخالفات,
,,,,,ساخط,روعة,مخجل,
,,,,,الاشمئزاز,عظيم,مخرخره,
,,,,,مشمئز,بشكل رائع,مخيف,
,,,,,باشمئزاز,مهيب,مدامعنا,
,,,,,مقرف,جلالة,مذله,
,,,,,بشكل مثير للاشمئزاز,يمكن التحكم فيه,مرصاد,
,,,,,مقزز,مناورة,مريض,
,,,,,مثير للاشمئزاز,أعجوبة,مزري,
,,,,,يثبط العزيمة,تعجب,مزهريات,
,,,,,محبط,تعجب,مزور,
,,,,,بشكل محبط,رائع,مزورة,
,,,,,غير شريفة,رائع,مزوره,
,,,,,بطريقة غير شريفة,بشكل رائع,مزوري,
,,,,,عدم الأمانة,روعة,مسؤلات,
,,,,,عار,الأعجوبة,مساكين,
,,,,,غير شريفة,يتقن,مساواتنا,
,,,,,بطريقة غير شريفة,بارع,مسبه,
,,,,,خيبة الأمل,ببراعة,مستاجرين,
,,,,,بخيبة أمل,تحفة,مستحقرينا,
,,,,,خيبات الأمل,روائع,مستحلين,
,,,,,النفور,سادة,مستحيل,
,,,,,غير راغب,تمكن,مستشرف,
,,,,,مخادع,لا مثيل له,مستعربين,
,,,,,بشكل مخادع,ناضجة,مستعمر,
,,,,,تتفكك,ناضجا,مستفز,
,,,,,تفككت,نضج,مستنيه,
,,,,,يتفكك,ذو معنى,مستوفيات,
,,,,,التفكك,لا تنسى,مسعورا,
,,,,,عدم الاهتمام,رحيم,مسكين,
,,,,,نزيه,برحمة,مسيئهم,
,,,,,لم يعجبنى,رحمة,مشاكل,
,,,,,يكره,استحقاق,مشاكلهم,
,,,,,مخلوع,جدير بالتقدير,مشكله,
,,,,,غير وفي,بمرح,مصاريه,
,,,,,عدم الولاء,فرح,مصخره,
,,,,,كئيب,مرح,مصدومه,
,,,,,بشكل كئيب,مرح,مصيبه,
,,,,,الكآبة,فتن,مضايقه,
,,,,,فزع,فتن,مضروبه,
,,,,,بشكل مخيف,يفتن,مضيع,
,,,,,رافض,فاتن,مضيق,
,,,,,باستخفاف,بشكل يفتن,مطالب,
,,,,,العصيان,شديد الإنتباه للتفاصيل,مطالباتنا,
,,,,,عصاة,بدقة,مطبل,
,,,,,عصيان,بقوة,مظاهرات,
,,,,,عصاة,الجبار,مظلوم,
,,,,,اضطراب,العصف الذهني,مظلوما,
,,,,,مضطرب,معجزة,مظلومات,
,,,,,غير منظم,معجزات,مظلومه,
,,,,,غير منظم,بأعجوبة,معاناة,
,,,,,مربك,معجزة,معاناتك,
,,,,,مشوش,حديث,معاناتنا,
,,,,,تبرأ من,محتشم,معاناتهن,
,,,,,استخفاف,تواضع,معاناه,
,,,,,استخفاف,بالغ الأهمية,معدومه,
,,,,,باستخفاف,ضخم,معضله,
,,,,,يمكن الاستغناء عنه,بشكل تذكاري,معطلات,
,,,,,مثبط الروح,الأخلاق,معطله,
,,,,,محبط,متحفز,معفن,
,,,,,بإحباط,مندفع,معقوله,
,,,,,مثبط للهمم,متعددة الأغراض,معلقه,
,,,,,إزاحة,صالحة للملاحة,معونتك,
,,,,,نازح,مرتب,مغبر,
,,,,,استياء,أنيق,مغبونه,
,,,,,مستاء,بدقة,مغتربه,
,,,,,مزعج,جيد,مغلوبات,
,,,,,استياء,لطيف,مغيبه,
,,,,,غير متناسب,بشكل جميل,مفجعه,
,,,,,دحض,أجمل,مفضل,
,,,,,مثير للجدل,اجمل,مقاطعه,
,,,,,ينازع,أنيق,مقبره,
,,,,,المتنازع عليها,ذكيا,مقبول,
,,,,,قلق,النبيل,مقهور,
,,,,,مقلق,بنبل,مقيت,
,,,,,بشكل مقلق,بلا ضجة,مقيده,
,,,,,قلق,اللاعنف,مقيمين,
,,,,,تجاهل,غير عنيفة,مكافءتنا,
,,,,,مهمل,على وجه الخصوص,مكرمه,
,,,,,سيئة السمعة,جدير بالملاحظة,مكرهم,
,,,,,سمعة,تغذي,مكروهه,
,,,,,عدم احترام,مغذية,مكروهين,
,,,,,غير محترم,تغذية,مكسب,
,,,,,عدم الاحترام,بدعة,مكسور,
,,,,,غير محترم,رعاية,مكلوم,
,,,,,بطريقة غير محترمة,واحة,ملحدين,
,,,,,عدم الاحترام,هوس,ملكته,
,,,,,تعطيل,الهواجس,ملينا,
,,,,,خلل,يمكن الحصول عليها,مناحه,
,,,,,مدمرة,علنا,منافسه,
,,,,,ديس,الانفتاح,مناكفه,
,,,,,مخيب للآمال,أفضل,منتفعين,
,,,,,عدم الرضا,التفاؤل,منتنه,
,,,,,غير مرضية,مستبشر,منحطه,
,,,,,غير راض,فخم,منسيات,
,,,,,لا يرضي,منظم,منصفه,
,,,,,أثار الاستياء,أصالة,منفعه,
,,,,,غير مرضية,التفوق,مهزومه,
,,,,,منشق,يتفوق عليها,مهملين,
,,,,,راءى,يتفوق على,مهموم,
,,,,,المخادع,تفوق,موجع,
,,,,,الشقاق,متفوق,موجعه,
,,,,,معارضة,يتفوق,موجوع,
,,,,,المنشق,يتفوق,ميت,
,,,,,انشقاق,تفوق,ميزات,
,,,,,ضرر,اغلب,نائمه,
,,,,,ديس,متميز,ناشد,
,,,,,انشقاق,بشكل رائع,نافخ,
,,,,,المنشق,يتغلب ببراعة,نافش,
,,,,,المنشقين,تصفيق,ناكر,
,,,,,انفصامي,بسعادة غامرة,ناكرا,
,,,,,فاسق,تجاوز,ناكري,
,,,,,تحلل,تجاوزت,ناكرين,
,,,,,التنافر,يتفوق,ناميه,
,,,,,متنافر,التجاوز,نايم,
,,,,,بشكل متنافر,تجاوزت,نايمه,
,,,,,ثني,مقدمة,نباد,
,,,,,رادعة,خالية من الألم,نتجاهل,
,,,,,يفرق,غير مؤلم,نتخلص,
,,,,,كراهيه,بدون ألم,نتسول,
,,,,,مقيت,فخم,نتظر,
,,,,,مقيت,دلل,نتعب,
,,,,,التشوه,مدلل,نتغرب,
,,,,,المحرفة,بشكل مدلل,نتنه,
,,,,,تشوه,التدليل,نتهاوش,
,,,,,يشوه,بامبرز,نتهم,
,,,,,يصرف الانتباه,بانورامي,نجاح,
,,,,,تشتيت الانتباه,جَنَّة,نجس,
,,,,,إلهاء,أساسي,نحاسبهم,
,,,,,مضطرب,عفو,نحتمل,
,,,,,بذهول,عاطفة,نحلم,
,,,,,الذهول,شغوف,نخريب,
,,,,,محنة,بحماس,نخسر,
,,,,,بالأسى,الصبر,نخشي,
,,,,,محزن,مريض,نرحل,
,,,,,بشكل مؤلم,بصبر,نرفض,
,,,,,عدم الثقة,وطني,نسامحكم,
,,,,,مرتاب,وطني,نستفز,
,,,,,عدم الثقة,سلام,نسود,
,,,,,يزعج,مسالم,نشتكيهم,
,,,,,إزعاج,امن,نشتم,
,,,,,مختل,بسلام,نشحذ,
,,,,,مزعجة,قوات حفظ السلام,نشحذك,
,,,,,بشكل مثير للقلق,خَوخ,نصابين,
,,,,,الانقسام,منقطع النظير,نصب,
,,,,,التقليل من القيمة,متفائل,نصفق,
,,,,,متشعب,تتبيلة,نصيب,
,,,,,خلافي,مفعم بالحيوية,نصيبنا,
,,,,,بشكل مثير للانقسام,ممتاز,نضحك,
,,,,,الانقسام,حد الكمال,نطالب,
,,,,,دوخة,مسموح,نطرد,
,,,,,بشكل مذهل,مثابرة,نظام,
,,,,,دائِخ,المثابرة,نظاميه,
,,,,,خرف,شخصيات,نظلم,
,,,,,المراوغة,شخصية,نظيف,
,,,,,عنيد,هائل,نعاني,
,,,,,بإصرار,بشكل هائل,نعرات,
,,,,,متزمت,الخلابة,نفاق,
,,,,,حالة ركود,التقوى,نقص,
,,,,,المستبد,قمة,نكبتكم,
,,,,,الاستبداد,مرحة,نكبه,
,,,,,الموت,بشكل هزلي,نكر,
,,,,,محكوم,جَذّاب,نكران,
,,,,,يوم القيامة,بسرور,نكرهكم,
,,,,,منشط,مسرور,نكرو,
,,,,,شك,يرضي,نكروا,
,,,,,مشكوك فيه,ارضاء,ننتظر,
,,,,,مما لا شك فيه,بسرور,نهاجر,
,,,,,الشكوك,ممتعة,نهان,
,,,,,متشائم,بشكل ممتع,نهض,
,,,,,مسبل,سرور,هاجمونا,
,,,,,مهدئ,وفيرة,هالعينات,
,,,,,سقوط,الإيجابيات,هجرتها,
,,,,,سقط,أفخم,هجوما,
,,,,,تخفيض,الإيجابيات,هدر,
,,,,,مكتئب,شعري,هدف,
,,,,,بكل إحباط,شعر,هدمنا,
,,,,,انحدار,مثير للمشاعر,هرمنا,
,,,,,الجانب السلبي,اتزان,هضم,
,,,,,سلبيات,متوازن,هكر,
,,,,,الانكماش,مصقول,همج,
,,,,,فترات الركود,مؤدب,هويتها,
,,,,,مومس,الادب,واسطه,
,,,,,شديد القسوة,شائع,واسى,
,,,,,يجر,محمول,وافد,
,,,,,جر,فاخرا,واقع,
,,,,,سحب,إيجابي,واهية,
,,,,,الفرسان,بشكل ايجابي,وترحيل,
,,,,,يسحب,الايجابيات,وساخه,
,,,,,بالُوعَة,قوي,وسختوا,
,,,,,استنزفت,بقوة,وضعته,
,,,,,استنزاف,مدح,وضيعه,
,,,,,المصارف,جدير بالثناء,وعود,
,,,,,عنيف,مدح,وفيه,
,,,,,بشكل جذري,بارز,وقاحه,
,,,,,عائق,ثمين,وقح,
,,,,,العيوب,دقيق,وناسه,
,,,,,الرهبة,بدقة,وهمي,
,,,,,مروعة,بارز,يءسفني,
,,,,,بشكل مخيف,يفضل,يؤسفني,
,,,,,الفزع,الأفضل,يؤلم,
,,,,,كئيب,ويفضل,ياخذها,
,,,,,مقطر,المفضل,يبتسم,
,,,,,يقطر,يفضل,يتاسد,
,,,,,متقطر,مفضل,يتالمن,
,,,,,يقطر,يفضل,يتجاهلنا,
,,,,,طائرات بدون طيار,الرائدة,يتحقق,
,,,,,تدلى,هيبة,يتذمر,
,,,,,يتدلى,المرموقة,يترحلون,
,,,,,التسرب ,على نحو جميل,يتطاول,
,,,,,المتسربين,جميل,يتقصدونا,
,,,,,أوقع,لا يقدر بثمن,يتمادون,
,,,,,المتسربين,فخر,يتمصخر,
,,,,,جفاف,مبدئي,يتهجمون,
,,,,,الغرق,امتياز,يتهم,
,,,,,سكران,ذو امتياز,يتهمنا,
,,,,,سكير,جائزة,يتهمها,
,,,,,سكران,استباقي,يتهمونا,
,,,,,متردد,خالية من المشاكل,يتوعد,
,,,,,يسجل,حلال مشاكل,يجحد,
,,,,,قابل للشك,مذهل,يجرحني,
,,,,,عديم الفائدة,بشكل مذهل,يجيد,
,,,,,ممل,معجزة,يجيدون,
,,,,,غبي,إنتاجي,يحارب,
,,,,,أحمق,بشكل منتج,يحاربون,
,,,,,مذهول,بارع,يحاسبنا,
,,,,,أحمق,ببراعة,يحاسبونا,
,,,,,ملقاة,بالغ,يحبون,
,,,,,الإغراق,بعمق,يحترم,
,,,,,مقالب,غزير,يحتقرهم,
,,,,,الغبي,وفرة,يحتقرونا,
,,,,,زنزانة,تقدم,يحرموه,
,,,,,الأبراج المحصنة,تدريجي,يحزنون,
,,,,,مغفل,غزير الإنتاج,يحسدون,
,,,,,تراب,الشهرة,يحسونك,
,,,,,مغبر,بارز,يحطمون,
,,,,,تتضاءل,يعد,يخاشرونا,
,,,,,الموت,وعد,يخاف,
,,,,,قطع الأذن,وعود,يخالف,
,,,,,غريب,واعدة,يختبء,
,,,,,الانحراف,المروجين,يخطأ,
,,,,,دمية,اِسْتَدْعَى,يدافعون,
,,,,,وقاحة,حالا,يدعسون,
,,,,,أناني,سليم,يدعي,
,,,,,هوس بالغرور,على وجه صحيح,يدفن,
,,,,,الأنانية,مؤاتية,يدوس,
,,,,,مغرور,على نحو ملائم,يرثعون,
,,,,,بأنانية,الايجابيات,يرحلون,
,,,,,فظيعة,تزدهر,يزعل,
,,,,,بشكل فاضح,ازدهار,يزعلك,
,,,,,مزور الانتخابات,مزدهر,يزعلون,
,,,,,إزالة,يحمي,يسب,
,,,,,هزيل,حماية,يسبنا,
,,,,,خصي,محمي,يسبون,
,,,,,يحرج,فخور,يسبونا,
,,,,,محرج,ثبت,يستاجرون,
,,,,,بشكل محرج,يثبت,يستحقرونا,
,,,,,إحراج,العناية الإلهية,يستخسر,
,,,,,محاصر,إثبات,يستفزني,
,,,,,توريط,شجاعة,يستنجدن,
,,,,,متورط,التعقل,يستنزفون,
,,,,,تورط,حصيف,يستهزء,
,,,,,طارئ,بحكمة,يستهزءون,
,,,,,مؤكد,منضبط,يستهزاء,
,,,,,بشكل قاطع,نقي,يستهزي,
,,,,,الفراغ,تنقية,يسخر,
,,,,,التعدي,هادفة,يسخرون,
,,,,,يعرض للخطر,غريبة,يسرق,
,,,,,أعداء,مؤهَل,يسرقون,
,,,,,العدو,مؤهل,يسهزي,
,,,,,يضعف,أسرع,يسيء,
,,,,,ضعيف,هادئ,يسيطر,
,,,,,ألهب,أكثر هدوءا,يشتكيك,
,,,,,بابتلاع,إشعاع,يشتلهم,
,,,,,يأمر,مشع,يشتم,
,,,,,عداوة,سريع,يشتمكم,
,,,,,غضب,علاقة,يشتمون,
,,,,,غاضب,مستغرق,يشتمونا,
,,,,,غضب,نشوة الطرب,يشكون,
,,,,,استعبد,مبتهج,يشم,
,,,,,تشابك,بحماس,يصرخن,
,,,,,تشابك,هائج,يضايقهم,
,,,,,فخ,عاقِل,يضايقون,
,,,,,فخ,شفرة حادة,يضف,
,,,,,حسود,يمكن الوصول إليها,يضيء,
,,,,,بحسد,قابلة للقراءة,يضيق,
,,,,,الحسد,بسهولة,يطالبون,
,,,,,وباء,مستعد,بغيض,
,,,,,ملتبس,أعد التأكيد,كريه,
,,,,,محو,إعادة التأكيد,يتميلح,
,,,,,تقلص,حقيقي,خنزير,
,,,,,يتآكل,قابلة للتحقيق,خنازير,
,,,,,التعرية,معقول,همجي,
,,,,,يخطئ,بشكل معقول,بربري,
,,,,,مخطئ,مسبب,برابره,
,,,,,غير منتظم,الطمأنينة,برابرة,
,,,,,عشوائيا,طمأنة,عميل,
,,,,,خاطئ,تقبلا,منافق,
,,,,,بشكل خاطئ,استعادة,دلوخ,
,,,,,خطأ,نوصي,دلخ,
,,,,,أخطاء,يوصي,بجيح,
,,,,,الانفجارات,توصية,مافيه خير,
,,,,,مغامرة,توصيات,يسحق,
,,,,,تجنب,مُستَحسَن,محزن,
,,,,,مبعد,التصالح,يطبل,
,,,,,تهرب,مصالحة,يطرد,
,,,,,التهرب,إعداد السجلات,يطرده,
,,,,,مراوغ,استعادة,يطردونا,
,,,,,شر,استعادة,يطردونهم,
,,,,,فاعل الشر,تصحيح,يطس,
,,,,,الشرور,تصحيح,يظلم,
,,,,,نزع أحشاء,تصحيح,يعادينا,
,,,,,تفاقم,يسترد,يعاني,
,,,,,مبالغ فيه,استرداد,يعايرني,
,,,,,يبالغ,الخلاص,يعبث,
,,,,,مبالغة,صقل,يعبثوا,
,,,,,سخط,مشتق,يعترضه,
,,,,,غاضب,التنقيح,يعطل,
,,,,,مثير للسخط,اعادة تشكيل,يغبن,
,,,,,بشكل مثير للسخط,إصلاحه,يغضب,
,,,,,السخط,إصلاح,يغضبه,
,,,,,مُبَالَغ فيه,الإصلاحات,يفسدون,
,,,,,بإفراط,ينعش,يفضلوا,
,,,,,الاستبعاد,منتعش,يقلعونه,
,,,,,سخر,منعش,يقهر,
,,,,,طاحنة,استرداد,يقهرني,
,,,,,بشكل مؤلم,ردها,يكذب,
,,,,,عذر,ملكي,يكره,
,,,,,الأعذار,ملكيا,يكرهونا,
,,,,,لعن,اعتبار,يكرهونكم,
,,,,,العادم,نبتهج,يكيل,
,,,,,مرهق,ابتهاج,يلتفت,
,,,,,إنهاك,بفرح,يلعبون,
,,,,,العوادم,تجديد,يلعن,
,,,,,باهظ,متجدد,يلمز,
,,,,,حث,تجديد,يموتني,
